"fighter1_odds","fighter2_odds"
"1.85","2.08"
"2.56","1.61"
"4.55","1.27"
"2.33","1.72"
"2.08","2.13"
"2.44","1.69"
"2.33","1.79"
"1.59","2.63"
"1.43","3.45"
"1.96","1.96"
"1.23","5.00"
"5.88","1.18"
"4.76","1.25"
"1.18","6.25"
"1.18","5.88"
"3.33","1.43"
"1.27","4.35"
"3.45","1.39"
"4.35","1.28"
"1.25","4.55"
"1.43","3.13"
"3.33","1.41"
"2.13","1.79"
"1.39","3.33"
"2.94","1.47"
"1.89","2.04"
"1.49","2.70"
"1.67","2.22"
"1.30","3.70"
"1.30","3.70"
"1.49","2.70"
"1.69","2.17"
"2.78","1.54"
"2.70","1.56"
"1.56","2.86"
"2.56","1.61"
"1.56","2.70"
"2.22","1.82"
"2.04","1.96"
"2.22","1.79"
"2.56","1.61"
"1.49","2.86"
"1.56","2.70"
"1.64","2.63"
"1.20","5.26"
"1.61","2.56"
"1.22","5.26"
"1.47","2.94"
"1.35","3.57"
"1.10","10.00"
"2.38","1.69"
"1.64","2.50"
"5.26","1.23"
"2.38","1.67"
"3.33","1.43"
"1.15","7.14"
"2.56","1.64"
"1.39","4.00"
"2.50","1.67"
"1.45","3.13"
"1.67","2.50"
"2.70","1.59"
"1.47","3.03"
"1.45","3.13"
"2.08","1.92"
"3.57","1.41"
"1.56","2.63"
"1.49","2.94"
"2.78","1.59"
"2.86","1.54"
"1.56","2.78"
"1.25","4.55"
"1.59","2.86"
"1.92","2.00"
"1.79","2.22"
"1.56","2.70"
"2.65","1.62"
"1.50","2.97"
"2.60","1.59"
"6.99","1.14"
"1.56","2.75"
"1.25","4.55"
"1.91","2.00"
"1.16","6.41"
"2.15","1.83"
"1.51","2.85"
"2.75","1.53"
"2.85","1.52"
"2.10","1.88"
"1.47","3.19"
"1.17","6.06"
"1.95","2.00"
"2.10","1.84"
"1.28","4.44"
"1.91","2.10"
"1.50","2.86"
"2.05","1.92"
"2.80","1.53"
"2.85","1.53"
"1.50","2.85"
"2.40","1.67"
"1.40","3.34"
"1.23","4.85"
"1.61","2.80"
"1.30","4.00"
"2.00","1.92"
"1.29","4.15"
"1.95","1.95"
"3.02","1.39"
"1.93","1.98"
"1.44","3.06"
"1.13","6.99"
"1.29","4.00"
"4.26","1.33"
"2.80","1.51"
"1.61","2.64"
"1.45","3.07"
"1.83","2.16"
"1.71","2.35"
"1.87","2.08"
"1.68","2.37"
"1.48","2.95"
"1.53","2.80"
"1.75","2.25"
"1.32","4.10"
"1.51","3.00"
"1.87","2.10"
"2.10","1.91"
"2.20","1.87"
"1.63","2.65"
"2.40","1.70"
"2.45","1.70"
"1.36","4.15"
"1.07","12.82"
"2.58","1.60"
"1.53","2.75"
"3.70","1.34"
"2.53","1.63"
"2.74","1.54"
"1.24","4.74"
"1.62","2.58"
"2.43","1.65"
"1.46","3.00"
"1.43","3.16"
"2.38","1.67"
"1.33","4.00"
"1.95","1.95"
"1.65","2.45"
"4.55","1.26"
"1.42","3.36"
"1.40","3.34"
"1.24","4.95"
"1.29","4.26"
"1.72","2.30"
"4.81","1.26"
"2.00","1.95"
"2.40","1.69"
"1.80","2.15"
"8.00","1.11"
"1.46","3.10"
"1.59","2.62"
"1.77","2.25"
"1.27","4.41"
"1.49","2.99"
"1.48","3.05"
"2.20","1.78"
"3.05","1.48"
"2.55","1.61"
"1.65","2.45"
"3.19","1.43"
"4.74","1.25"
"1.20","5.75"
"1.67","2.40"
"1.20","6.10"
"2.30","1.77"
"1.08","11.49"
"1.23","4.81"
"2.18","1.77"
"1.50","3.00"
"2.20","1.80"
"2.59","1.63"
"1.75","2.35"
"1.34","3.80"
"1.20","5.49"
"1.27","4.48"
"1.43","3.06"
"1.37","3.55"
"1.46","3.10"
"3.58","1.40"
"1.31","4.20"
"3.69","1.34"
"1.93","2.04"
"1.43","3.45"
"2.19","1.83"
"1.56","2.70"
"1.33","3.91"
"1.45","3.10"
"1.35","3.85"
"3.40","1.43"
"2.35","1.71"
"3.19","1.44"
"1.24","4.81"
"1.53","2.85"
"2.60","1.63"
