"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Shinsho Anzai",170,"welterweight",70,3.23,3.75,0.58,0.45,1.83,0.16,0.75,0
"Shinya Aoki",154,"lightweight",72,0.97,1.25,0.58,0.58,2.54,0.41,0.6,4
"Aori Qileng",125,"flyweight",67,0,0,0,0,0,0,0,0
"Josh Appelt",255,"heavyweight",77,1.35,11.5,0.4,0.32,0,0,0.33,0
"Erik Apple",170,"welterweight",73,0,0.54,0,0.81,0,0,0,8.1
"Kenji Arai",145,"featherweight",70,8.79,10.29,0.27,0.39,0,0,0,0
"Romie Aram",170,"welterweight",73,1.8,2.83,0.35,0.5,2.5,0.62,0.83,0
"Felipe Arantes",135,"bantamweight",73,2.37,2.66,0.45,0.64,0.93,0.47,0.41,0.7
"Igor Araujo",170,"welterweight",77,1.52,2.86,0.42,0.49,0.86,0.15,0.22,0.6
"Viviane Araujo",125,"flyweight",68,4.97,4.84,0.48,0.6,2.33,0.64,0.94,0.2
"Julio Arce",145,"featherweight",70,4.25,2.87,0.36,0.67,0.58,0.3,0.93,0.6
"Art Arciniega",145,"featherweight",70,1.53,2.73,0.46,0.51,0,0,0.5,1
"Tristan Arenal",155,"lightweight",72,0,0,0,0,0,0,0,0
"Andrei Arlovski",240,"heavyweight",77,3.48,2.83,0.44,0.57,0.47,0.36,0.78,0.3
"Austin Arnett",145,"featherweight",72,4.52,6.38,0.41,0.62,0.44,0.18,0.57,0.2
"Ricardo Arona",205,"lightheavyweight",76,1.66,1.15,0.48,0.57,2.41,0.48,0.58,1.2
"Chalid Arrab",205,"lightheavyweight",76,1.56,1.63,0.34,0.56,3.05,0.75,0.37,1
"Akbarh Arreola",155,"lightweight",71,2.32,4.01,0.45,0.56,1.07,1,0.33,0.4
"Matt Arroyo",170,"welterweight",72,1.62,2.01,0.47,0.58,2.12,0.36,1,5.3
"Antonio Arroyo",185,"middleweight",73,3.08,1.72,0.7,0.44,1.4,0.41,0.32,0.3
"Gilles Arsene",190,"lightheavyweight",76,0.06,2.45,0.1,0.32,0,0,0,0
"Veta Arteaga",125,"flyweight",67,3.2,1.92,0.36,0.65,0,0,0.4,0
"Cesar Arzamendia",155,"lightweight",72,5.37,5.2,0.45,0.56,7.32,0.75,0,2.4
"Teddy Ash",185,"middleweight",73,7.27,6.8,0.61,0.28,0,0,1,0
"Arman Ashimov",125,"flyweight",67,0,0,0,0,0,0,0,0
"Askar Askar",145,"featherweight",69,0,0,0,0,0,0,0,0
"Askar Askarov",125,"flyweight",67,3.37,2.65,0.55,0.56,2.75,0.28,0.64,0
"Cyril Asker",247,"heavyweight",74,3.35,5.82,0.39,0.35,4.41,0.62,1,0.9
"Scott Askham",185,"middleweight",75,3.03,3.52,0.46,0.52,0.44,0.18,0.65,0.7
"Ben Askren",170,"welterweight",73,3.64,5.66,0.49,0.36,4.33,0.55,0,0.9
"Ibo Aslan",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Tom Aspinall",256,"heavyweight",78,7.43,3.06,0.66,0.65,3.54,1,0,1.8
"Bruno Assis",185,"middleweight",75,1.27,3.2,0.43,0.36,2,0.5,0.66,1
"Junior Assuncao",145,"featherweight",72,3.31,2.06,0.62,0.44,2.43,0.24,0.66,0.7
"Raphael Assuncao",135,"bantamweight",66,3.26,2.33,0.4,0.68,1.48,0.38,0.8,0.3
"Bazigit Atajev",230,"heavyweight",77,0.87,3.14,0.41,0.49,1,0.33,0,0
"Rich Attonito",170,"welterweight",72,2.28,2.13,0.47,0.59,0.74,0.37,0.75,0
"Olivier Aubin-Mercier",155,"lightweight",70,2.48,2.97,0.51,0.55,2.36,0.33,0.7,0.5
"Pat Audinwood",155,"lightweight",72,1.17,4.31,0.12,0.41,0.8,0.5,0,0
"Jose Augusto",251,"heavyweight",77,0,0,0,0,0,0,0,0
"Marcus Aurelio",155,"lightweight",74,1.42,2.27,0.33,0.59,1.69,0.27,0.27,1.3
"David Avellan",185,"middleweight",75,3.33,10,0.25,0.57,0,0,0,0
"Blas Avena",170,"welterweight",74,2.34,3.36,0.47,0.43,2.37,0.8,0.5,1.8
"Levi Avera",170,"welterweight",73,0,0,0,0,0,0,0,0
"Anthony Avila",145,"featherweight",70,0,0,0,0,0,0,0,0
"Chris Avila",145,"featherweight",70,2.37,4.17,0.3,0.48,0,0,0.46,0
"Julia Avila",135,"bantamweight",68,3.1,2.9,0.41,0.54,0.49,0.5,0.6,0
"Saad Awad",155,"lightweight",72,2.13,1.87,0.26,0.6,0.5,0.16,1,0.5
"Javy Ayala",265,"heavyweight",77,0.83,5,0.25,0.33,0,0,0,0
"Jessin Ayari",155,"lightweight",73,3.53,3.59,0.37,0.58,0,0,0.5,0.3
"Abu Azaitar",185,"middleweight",76,3.2,1.27,0.37,0.57,1,1,0.25,0
