"Events","Fighter1"
"UFC on Fox 12 - Lawler vs. Brown","Robbie Lawler"
"UFC on Fox 12 - Lawler vs. Brown","Anthony Johnson"
"UFC on Fox 12 - Lawler vs. Brown","Dennis Bermudez"
"UFC on Fox 12 - Lawler vs. Brown","Bobby Green"
"UFC on Fox 12 - Lawler vs. Brown","Jorge Masvidal"
"UFC on Fox 12 - Lawler vs. Brown","Patrick Cummins"
"UFC on Fox 12 - Lawler vs. Brown","Tim Means"
"UFC on Fox 12 - Lawler vs. Brown","Brian Ortega"
"UFC on Fox 12 - Lawler vs. Brown","Gilbert Burns"
"UFC on Fox 12 - Lawler vs. Brown","Joanna Jedrzejczyk"
"UFC on Fox 12 - Lawler vs. Brown","Noad Lahat"
"UFC Fight Night 48 - Bisping vs. Le","Betting Tools"
"UFC Fight Night 48 - Bisping vs. Le","Michael Bisping"
"UFC Fight Night 48 - Bisping vs. Le","Tyron Woodley"
"UFC Fight Night 48 - Bisping vs. Le","Zhang Lipeng"
"UFC Fight Night 48 - Bisping vs. Le","Alberto Mina"
"UFC Fight Night 48 - Bisping vs. Le","Yuta Sasaki"
"UFC Fight Night 48 - Bisping vs. Le","Colby Covington"
"UFC Fight Night 48 - Bisping vs. Le","Royston Wee"
"UFC Fight Night 48 - Bisping vs. Le","Milana Dudieva"
"UFC 177 - Dillashaw vs. Soto","Betting Tools"
"UFC 177 - Dillashaw vs. Soto","T.J. Dillashaw"
"UFC 177 - Dillashaw vs. Soto","Tony Ferguson"
"UFC 177 - Dillashaw vs. Soto","Bethe Correia"
"UFC 177 - Dillashaw vs. Soto","Carlos Diego Ferreira"
"UFC 177 - Dillashaw vs. Soto","Yancy Medeiros"
"UFC 177 - Dillashaw vs. Soto","Derek Brunson"
"UFC 177 - Dillashaw vs. Soto","Anthony Hamilton"
"UFC 177 - Dillashaw vs. Soto","Chris Wade"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Betting Tools"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Andrei Arlovski"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Gleison Tibau"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Leonardo Santos"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Santiago Ponzinibbio"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Yuri Alcantara"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Jessica Andrade"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Godofredo Pepey"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","George Sullivan"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Francisco Trinaldo"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Sean Spencer"
"UFC Fight Night 51 - Bigfoot vs. Arlovski 2","Rani Yahya"
"UFC Fight Night 52 - Hunt vs. Nelson","Betting Tools"
"UFC Fight Night 52 - Hunt vs. Nelson","Mark Hunt"
"UFC Fight Night 52 - Hunt vs. Nelson","Myles Jury"
"UFC Fight Night 52 - Hunt vs. Nelson","Yoshihiro Akiyama"
"UFC Fight Night 52 - Hunt vs. Nelson","Miesha Tate"
"UFC Fight Night 52 - Hunt vs. Nelson","Kiichi Kunimoto"
"UFC Fight Night 52 - Hunt vs. Nelson","Kyoji Horiguchi"
"UFC Fight Night 52 - Hunt vs. Nelson","Masanori Kanehara"
"UFC Fight Night 52 - Hunt vs. Nelson","Katsunori Kikuno"
"UFC Fight Night 52 - Hunt vs. Nelson","Hyun Gyu Lim"
"UFC Fight Night 52 - Hunt vs. Nelson","Kyung Ho Kang"
"UFC Fight Night 52 - Hunt vs. Nelson","Johnny Case"
"UFC Fight Night 52 - Hunt vs. Nelson","Maximo Blanco"
"UFC 178 - Johnson vs. Cariaso","Betting Tools"
"UFC 178 - Johnson vs. Cariaso","Demetrious Johnson"
"UFC 178 - Johnson vs. Cariaso","Donald Cerrone"
"UFC 178 - Johnson vs. Cariaso","Conor McGregor"
"UFC 178 - Johnson vs. Cariaso","Yoel Romero"
"UFC 178 - Johnson vs. Cariaso","Cat Zingano"
"UFC 178 - Johnson vs. Cariaso","Dominick Cruz"
"UFC 178 - Johnson vs. Cariaso","Jorge Masvidal"
"UFC 178 - Johnson vs. Cariaso","Stephen Thompson"
"UFC 178 - Johnson vs. Cariaso","Brian Ebersole"
