"Events","Fighter1"
"UFC 193 - Rousey vs. Holm","Anthony Perosh"
"UFC 193 - Rousey vs. Holm","Richie Vaculik"
"UFC 193 - Rousey vs. Holm","Daniel Kelly"
"UFC 193 - Rousey vs. Holm","Richard Walsh"
"UFC Fight Night 78 - Magny vs. Gastelum","Betting Tools"
"UFC Fight Night 78 - Magny vs. Gastelum","Neil Magny"
"UFC Fight Night 78 - Magny vs. Gastelum","Ricardo Lamas"
"UFC Fight Night 78 - Magny vs. Gastelum","Jussier Formiga"
"UFC Fight Night 78 - Magny vs. Gastelum","Efrain Escudero"
"UFC Fight Night 78 - Magny vs. Gastelum","Erik Perez"
"UFC Fight Night 78 - Magny vs. Gastelum","Hector Urbina"
"UFC Fight Night 78 - Magny vs. Gastelum","Scott Jorgensen"
"UFC Fight Night 78 - Magny vs. Gastelum","Valmir Lazaro"
"UFC Fight Night 79 - Henderson vs. Masvidal","Betting Tools"
"UFC Fight Night 79 - Henderson vs. Masvidal","Benson Henderson"
"UFC Fight Night 79 - Henderson vs. Masvidal","Dong Hyun Kim"
"UFC Fight Night 79 - Henderson vs. Masvidal","Alberto Mina"
"UFC Fight Night 79 - Henderson vs. Masvidal","Sam Sicilia"
"UFC Fight Night 79 - Henderson vs. Masvidal","Yui Chul Nam"
"UFC Fight Night 79 - Henderson vs. Masvidal","Tae Hyun Bang"
"UFC Fight Night 79 - Henderson vs. Masvidal","Seo Hee Ham"
"UFC Fight Night 79 - Henderson vs. Masvidal","Freddy Serrano"
"UFC Fight Night - VanZant vs Namajunas","Betting Tools"
"UFC Fight Night - VanZant vs Namajunas","Paige VanZant"
"UFC Fight Night - VanZant vs Namajunas","Jim Miller"
"UFC Fight Night - VanZant vs Namajunas","Sage Northcutt"
"UFC Fight Night - VanZant vs Namajunas","Elias Theodorou"
"UFC Fight Night - VanZant vs Namajunas","Tim Means"
"UFC Fight Night - VanZant vs Namajunas","Sergio Moraes"
"UFC Fight Night - VanZant vs Namajunas","Kevin Casey"
"UFC Fight Night - VanZant vs Namajunas","Aljamain Sterling"
"UFC Fight Night - VanZant vs Namajunas","Andreas Stahl"
"UFC Fight Night - VanZant vs Namajunas","Danny Roberts"
"UFC Fight Night - VanZant vs Namajunas","Zubaira Tukhugov"
"UFC Fight Night - VanZant vs Namajunas","Kailin Curran"
"UFC - The Ultimate Fighter 22 Finale","Betting Tools"
"UFC - The Ultimate Fighter 22 Finale","Frankie Edgar"
"UFC - The Ultimate Fighter 22 Finale","Artem Lobov"
"UFC - The Ultimate Fighter 22 Finale","Edson Barboza"
"UFC - The Ultimate Fighter 22 Finale","Joe Lauzon"
"UFC - The Ultimate Fighter 22 Finale","Gabriel Gonzaga"
"UFC - The Ultimate Fighter 22 Finale","Mike Pierce"
"UFC - The Ultimate Fighter 22 Finale","Chris Gruetzemacher"
"UFC 194 - Aldo vs. McGregor","Betting Tools"
"UFC 194 - Aldo vs. McGregor","Jose Aldo"
"UFC 194 - Aldo vs. McGregor","Chris Weidman"
"UFC 194 - Aldo vs. McGregor","Ronaldo Souza"
"UFC 194 - Aldo vs. McGregor","Gunnar Nelson"
"UFC 194 - Aldo vs. McGregor","Max Holloway"
"UFC 194 - Aldo vs. McGregor","Urijah Faber"
"UFC 194 - Aldo vs. McGregor","Tecia Torres"
"UFC 194 - Aldo vs. McGregor","Warlley Alves"
"UFC 194 - Aldo vs. McGregor","Kevin Lee"
"UFC 194 - Aldo vs. McGregor","Joe Proctor"
"UFC 194 - Aldo vs. McGregor","John Makdessi"
"UFC 194 - Aldo vs. McGregor","Marcio Alexandre Jr."
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Betting Tools"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Rafael dos Anjos"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Junior dos Santos"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Nate Diaz"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Randa Markos"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Myles Jury"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Nate Marquardt"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Sarah Kaufman"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Josh Samman"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Nik Lentz"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Jim Alers"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Kamaru Usman"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","Vicente Luque"
"UFC 195 - Lawler vs Condit","Betting Tools"
"UFC 195 - Lawler vs Condit","Robbie Lawler"
"UFC 195 - Lawler vs Condit","Stipe Miocic"
"UFC 195 - Lawler vs Condit","Lorenz Larkin"
"UFC 195 - Lawler vs Condit","Brian Ortega"
"UFC 195 - Lawler vs Condit","Abel Trujillo"
"UFC 195 - Lawler vs Condit","Michael McDonald"
"UFC 195 - Lawler vs Condit","Alex Morono"
"UFC 195 - Lawler vs Condit","Nina Ansaroff"
"UFC 195 - Lawler vs Condit","Drew Dober"
"UFC 195 - Lawler vs Condit","Dustin Poirier"
"UFC 195 - Lawler vs Condit","Joe Soto"
"UFC 195 - Lawler vs Condit","Edgar Garcia"
"UFC Fight Night - Dillashaw vs. Cruz","Betting Tools"
"UFC Fight Night - Dillashaw vs. Cruz","T.J. Dillashaw"
"UFC Fight Night - Dillashaw vs. Cruz","Anthony Pettis"
"UFC Fight Night - Dillashaw vs. Cruz","Travis Browne"
"UFC Fight Night - Dillashaw vs. Cruz","Francisco Trinaldo"
"UFC Fight Night - Dillashaw vs. Cruz","Patrick Cote"
"UFC Fight Night - Dillashaw vs. Cruz","Tim Boetsch"
"UFC Fight Night - Dillashaw vs. Cruz","Mehdi Baghdad"
"UFC Fight Night - Dillashaw vs. Cruz","Maximo Blanco"
"UFC Fight Night - Dillashaw vs. Cruz","Paul Felder"
"UFC Fight Night - Dillashaw vs. Cruz","Sean O'Connell"
"UFC Fight Night - Dillashaw vs. Cruz","Charles Rosa"
"UFC Fight Night - Dillashaw vs. Cruz","Rob Font"
"UFC Fight Night - Dillashaw vs. Cruz","Francimar Barroso"
"UFC on Fox 18 - Johnson vs. Bader","Betting Tools"
"UFC on Fox 18 - Johnson vs. Bader","Anthony Johnson"
"UFC on Fox 18 - Johnson vs. Bader","Ben Rothwell"
"UFC on Fox 18 - Johnson vs. Bader","Yuri Alcantara"
"UFC on Fox 18 - Johnson vs. Bader","Sage Northcutt"
"UFC on Fox 18 - Johnson vs. Bader","Tarec Saffiedine"
"UFC on Fox 18 - Johnson vs. Bader","Olivier Aubin-Mercier"
"UFC on Fox 18 - Johnson vs. Bader","Rafael Natal"
"UFC on Fox 18 - Johnson vs. Bader","Dustin Ortiz"
"UFC on Fox 18 - Johnson vs. Bader","George Sullivan"
"UFC on Fox 18 - Johnson vs. Bader","Alex Caceres"
"UFC on Fox 18 - Johnson vs. Bader","Matt Dwyer"
"UFC on Fox 18 - Johnson vs. Bader","Tony Martin"
"UFC Fight Night 82 - Hendricks vs. Thompson","Betting Tools"
"UFC Fight Night 82 - Hendricks vs. Thompson","Johny Hendricks"
"UFC Fight Night 82 - Hendricks vs. Thompson","Roy Nelson"
"UFC Fight Night 82 - Hendricks vs. Thompson","Ovince St Preux"
"UFC Fight Night 82 - Hendricks vs. Thompson","Joseph Benavidez"
"UFC Fight Night 82 - Hendricks vs. Thompson","Misha Cirkunov"
"UFC Fight Night 82 - Hendricks vs. Thompson","Mike Pyle"
"UFC Fight Night 82 - Hendricks vs. Thompson","Josh Burkman"
"UFC Fight Night 82 - Hendricks vs. Thompson","Derrick Lewis"
"UFC Fight Night 82 - Hendricks vs. Thompson","Ray Borg"
"UFC Fight Night 82 - Hendricks vs. Thompson","Noad Lahat"
"UFC Fight Night 82 - Hendricks vs. Thompson","Mickey Gall"
"UFC Fight Night 82 - Hendricks vs. Thompson","Alex White"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Betting Tools"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Donald Cerrone"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Derek Brunson"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Cody Garbrandt"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Dennis Bermudez"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Joe Riggs"
"UFC Fight Night 82 - Cerrone vs. Oliveira","James Krause"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Sean Strickland"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Oluwale Bamgbose"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Anthony Smith"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Ashlee Evans-Smith"
"UFC Fight Night 82 - Cerrone vs. Oliveira","Anthony Hamilton"
"UFC Fight Night 84 - Silva vs. Bisping","Betting Tools"
"UFC Fight Night 84 - Silva vs. Bisping","Michael Bisping"
"UFC Fight Night 84 - Silva vs. Bisping","Gegard Mousasi"
"UFC Fight Night 84 - Silva vs. Bisping","Tom Breese"
"UFC Fight Night 84 - Silva vs. Bisping","Brad Pickett"
"UFC Fight Night 84 - Silva vs. Bisping","Makwan Amirkhani"
"UFC Fight Night 84 - Silva vs. Bisping","Scott Askham"
"UFC Fight Night 84 - Silva vs. Bisping","Arnold Allen"
"UFC Fight Night 84 - Silva vs. Bisping","Brad Scott"
"UFC Fight Night 84 - Silva vs. Bisping","Rustam Khabilov"
"UFC Fight Night 84 - Silva vs. Bisping","Daniel Omielanczuk"
"UFC Fight Night 84 - Silva vs. Bisping","Martin Svensson"
"UFC 196 - McGregor vs. Diaz","Betting Tools"
"UFC 196 - McGregor vs. Diaz","Nate Diaz"
"UFC 196 - McGregor vs. Diaz","Holly Holm"
"UFC 196 - McGregor vs. Diaz","Ilir Latifi"
"UFC 196 - McGregor vs. Diaz","Corey Anderson"
"UFC 196 - McGregor vs. Diaz","Amanda Nunes"
"UFC 196 - McGregor vs. Diaz","Brandon Thatch"
"UFC 196 - McGregor vs. Diaz","Erick Silva"
"UFC 196 - McGregor vs. Diaz","Vitor Miranda"
"UFC 196 - McGregor vs. Diaz","Darren Elkins"
"UFC 196 - McGregor vs. Diaz","Jim Miller"
"UFC 196 - McGregor vs. Diaz","Justin Salas"
"UFC Fight Night 84 - Hunt vs. Mir","Betting Tools"
"UFC Fight Night 84 - Hunt vs. Mir","Frank Mir"
"UFC Fight Night 84 - Hunt vs. Mir","Hector Lombard"
"UFC Fight Night 84 - Hunt vs. Mir","Jake Matthews"
"UFC Fight Night 84 - Hunt vs. Mir","Daniel Kelly"
"UFC Fight Night 84 - Hunt vs. Mir","Seo Hee Ham"
"UFC Fight Night 84 - Hunt vs. Mir","Brendan O'Reilly"
"UFC Fight Night 84 - Hunt vs. Mir","Daniel Hooker"
"UFC Fight Night 84 - Hunt vs. Mir","Leslie Smith"
"UFC Fight Night 84 - Hunt vs. Mir","Richard Walsh"
"UFC Fight Night 84 - Hunt vs. Mir","Ross Pearson"
"UFC Fight Night 86 - Zagreb","Betting Tools"
"UFC Fight Night 86 - Zagreb","Ben Rothwell"
"UFC Fight Night 86 - Zagreb","Gabriel Gonzaga"
"UFC Fight Night 86 - Zagreb","Francis Ngannou"
"UFC Fight Night 86 - Zagreb","Marcin Tybura"
"UFC Fight Night 86 - Zagreb","Jan Blachowicz"
"UFC Fight Night 86 - Zagreb","Maryna Moroz"
"UFC Fight Night 86 - Zagreb","Nicolas Dalby"
"UFC Fight Night 86 - Zagreb","Ian Entwistle"
"UFC Fight Night 86 - Zagreb","Mairbek Taisumov"
"UFC Fight Night 86 - Zagreb","Damian Stasiak"
"UFC Fight Night 86 - Zagreb","Lucas Martins"
"UFC Fight Night 86 - Zagreb","Bojan Velickovic"
"UFC on Fox 19 - Teixeira vs. Evans","Betting Tools"
"UFC on Fox 19 - Teixeira vs. Evans","Rashad Evans"
"UFC on Fox 19 - Teixeira vs. Evans","Rose Namajunas"
"UFC on Fox 19 - Teixeira vs. Evans","Darrell Horcher"
"UFC on Fox 19 - Teixeira vs. Evans","Cub Swanson"
"UFC on Fox 19 - Teixeira vs. Evans","Michael Chiesa"
"UFC on Fox 19 - Teixeira vs. Evans","Bethe Correia"
"UFC on Fox 19 - Teixeira vs. Evans","Court McGee"
"UFC on Fox 19 - Teixeira vs. Evans","Randy Brown"
"UFC on Fox 19 - Teixeira vs. Evans","John Dodson"
"UFC on Fox 19 - Teixeira vs. Evans","Cezar Ferreira"
"UFC on Fox 19 - Teixeira vs. Evans","Omari Akhmedov"
"UFC 197 - Jones vs. St Preux","Betting Tools"
"UFC 197 - Jones vs. St Preux","Jon Jones"
"UFC 197 - Jones vs. St Preux","Demetrious Johnson"
"UFC 197 - Jones vs. St Preux","Anthony Pettis"
"UFC 197 - Jones vs. St Preux","Robert Whittaker"
"UFC 197 - Jones vs. St Preux","Andre Fili"
"UFC 197 - Jones vs. St Preux","Sergio Pettis"
"UFC 197 - Jones vs. St Preux","Danny Roberts"
"UFC 197 - Jones vs. St Preux","Carla Esparza"
"UFC 197 - Jones vs. St Preux","James Vick"
"UFC 197 - Jones vs. St Preux","Walt Harris"
"UFC 197 - Jones vs. St Preux","Marcos Rogerio de Lima"
"UFC 197 - Jones vs. St Preux","Kevin Lee"
"UFC Fight Night - Overeem vs. Arlovski","Betting Tools"
"UFC Fight Night - Overeem vs. Arlovski","Alistair Overeem"
"UFC Fight Night - Overeem vs. Arlovski","Stefan Struve"
"UFC Fight Night - Overeem vs. Arlovski","Albert Tumenov"
"UFC Fight Night - Overeem vs. Arlovski","Germaine de Randamie"
"UFC Fight Night - Overeem vs. Arlovski","Nikita Krylov"
"UFC Fight Night - Overeem vs. Arlovski","Karolina Kowalkiewicz"
"UFC Fight Night - Overeem vs. Arlovski","Rustam Khabilov"
"UFC Fight Night - Overeem vs. Arlovski","Garreth McLellan"
"UFC Fight Night - Overeem vs. Arlovski","Josh Emmett"
"UFC Fight Night - Overeem vs. Arlovski","Reza Madadi"
"UFC Fight Night - Overeem vs. Arlovski","Kyoji Horiguchi"
"UFC Fight Night - Overeem vs. Arlovski","Yuta Sasaki"
"UFC 198 - Werdum vs. Miocic","Betting Tools"
"UFC 198 - Werdum vs. Miocic","Fabricio Werdum"
"UFC 198 - Werdum vs. Miocic","Ronaldo Souza"
"UFC 198 - Werdum vs. Miocic","Cristiane Justino"
"UFC 198 - Werdum vs. Miocic","Mauricio Rua"
"UFC 198 - Werdum vs. Miocic","Warlley Alves"
"UFC 198 - Werdum vs. Miocic","Demian Maia"
"UFC 198 - Werdum vs. Miocic","Nate Marquardt"
"UFC 198 - Werdum vs. Miocic","Yancy Medeiros"
"UFC 198 - Werdum vs. Miocic","John Lineker"
"UFC 198 - Werdum vs. Miocic","Patrick Cummins"
"UFC 198 - Werdum vs. Miocic","Luan Chagas"
"UFC 198 - Werdum vs. Miocic","Renato Moicano"
"UFC Fight Night - Almeida vs. Garbrandt","Betting Tools"
"UFC Fight Night - Almeida vs. Garbrandt","Thomas Almeida"
"UFC Fight Night - Almeida vs. Garbrandt","Renan Barao"
"UFC Fight Night - Almeida vs. Garbrandt","Tarec Saffiedine"
"UFC Fight Night - Almeida vs. Garbrandt","Vitor Miranda"
"UFC Fight Night - Almeida vs. Garbrandt","Jorge Masvidal"
"UFC Fight Night - Almeida vs. Garbrandt","Josh Burkman"
"UFC Fight Night - Almeida vs. Garbrandt","Jessica Eye"
"UFC Fight Night - Almeida vs. Garbrandt","Abel Trujillo"
"UFC Fight Night - Almeida vs. Garbrandt","Jake Collier"
"UFC Fight Night - Almeida vs. Garbrandt","Erik Koch"
"UFC Fight Night - Almeida vs. Garbrandt","Aljamain Sterling"
"UFC 199 - Rockhold vs Bisping 2","Betting Tools"
"UFC 199 - Rockhold vs Bisping 2","Luke Rockhold"
"UFC 199 - Rockhold vs Bisping 2","Dominick Cruz"
"UFC 199 - Rockhold vs Bisping 2","Max Holloway"
"UFC 199 - Rockhold vs Bisping 2","Dan Henderson"
"UFC 199 - Rockhold vs Bisping 2","Dustin Poirier"
"UFC 199 - Rockhold vs Bisping 2","Clay Guida"
"UFC 199 - Rockhold vs Bisping 2","Beneil Dariush"
"UFC 199 - Rockhold vs Bisping 2","Jessica Penne"
"UFC 199 - Rockhold vs Bisping 2","Alex Caceres"
"UFC 199 - Rockhold vs Bisping 2","Tom Breese"
"UFC 199 - Rockhold vs Bisping 2","Kevin Casey"
"UFC Fight Night - MacDonald vs. Thompson","Betting Tools"
"UFC Fight Night - MacDonald vs. Thompson","Rory MacDonald"
"UFC Fight Night - MacDonald vs. Thompson","Donald Cerrone"
"UFC Fight Night - MacDonald vs. Thompson","Steve Bosse"
"UFC Fight Night - MacDonald vs. Thompson","Olivier Aubin-Mercier"
"UFC Fight Night - MacDonald vs. Thompson","Valerie Letourneau"
"UFC Fight Night - MacDonald vs. Thompson","Misha Cirkunov"
"UFC Fight Night - MacDonald vs. Thompson","Tamdan McCrory"
"UFC Fight Night - MacDonald vs. Thompson","Joe Soto"
"UFC Fight Night - MacDonald vs. Thompson","Elias Theodorou"
"UFC Fight Night - MacDonald vs. Thompson","Randa Markos"
"UFC Fight Night - MacDonald vs. Thompson","Ali Bagautinov"
"UFC Fight Night - Dos Anjos vs. Alvarez","Betting Tools"
"UFC Fight Night - Dos Anjos vs. Alvarez","Rafael dos Anjos"
"UFC Fight Night - Dos Anjos vs. Alvarez","Roy Nelson"
"UFC Fight Night - Dos Anjos vs. Alvarez","Alan Jouban"
"UFC Fight Night - Dos Anjos vs. Alvarez","Joseph Duffy"
"UFC Fight Night - Dos Anjos vs. Alvarez","Mike Pyle"
"UFC Fight Night - Dos Anjos vs. Alvarez","John Makdessi"
"UFC Fight Night - Dos Anjos vs. Alvarez","Anthony Birchak"
"UFC Fight Night - Dos Anjos vs. Alvarez","Russell Doane"
"UFC Fight Night - Dos Anjos vs. Alvarez","Felipe Arantes"
"UFC Fight Night - Dos Anjos vs. Alvarez","Gilbert Burns"
"UFC - The Ultimate Fighter 23 Finale","Betting Tools"
"UFC - The Ultimate Fighter 23 Finale","Joanna Jedrzejczyk"
"UFC - The Ultimate Fighter 23 Finale","Tatiana Suarez"
"UFC - The Ultimate Fighter 23 Finale","Ross Pearson"
"UFC - The Ultimate Fighter 23 Finale","Doo Ho Choi"
"UFC - The Ultimate Fighter 23 Finale","John Moraga"
"UFC - The Ultimate Fighter 23 Finale","Cezar Ferreira"
"UFC - The Ultimate Fighter 23 Finale","Jake Matthews"
"UFC - The Ultimate Fighter 23 Finale","Li Jingliang"
"UFC 200 - Tate vs. Nunes","Betting Tools"
"UFC 200 - Tate vs. Nunes","Brock Lesnar"
"UFC 200 - Tate vs. Nunes","Miesha Tate"
"UFC 200 - Tate vs. Nunes","Jose Aldo"
"UFC 200 - Tate vs. Nunes","Daniel Cormier"
"UFC 200 - Tate vs. Nunes","Cain Velasquez"
"UFC 200 - Tate vs. Nunes","T.J. Dillashaw"
"UFC 200 - Tate vs. Nunes","Cat Zingano"
"UFC 200 - Tate vs. Nunes","Johny Hendricks"
"UFC 200 - Tate vs. Nunes","Sage Northcutt"
"UFC 200 - Tate vs. Nunes","Joe Lauzon"
"UFC 200 - Tate vs. Nunes","Gegard Mousasi"
"UFC 200 - Tate vs. Nunes","Jim Miller"
"UFC Fight Night 91 - McDonald vs. Lineker","Betting Tools"
"UFC Fight Night 91 - McDonald vs. Lineker","John Lineker"
"UFC Fight Night 91 - McDonald vs. Lineker","Tony Ferguson"
"UFC Fight Night 91 - McDonald vs. Lineker","Tim Boetsch"
"UFC Fight Night 91 - McDonald vs. Lineker","Louis Smolka"
"UFC Fight Night 91 - McDonald vs. Lineker","Aleksei Oleinik"
"UFC Fight Night 91 - McDonald vs. Lineker","Kyle Noke"
"UFC Fight Night 91 - McDonald vs. Lineker","Lauren Murphy"
"UFC Fight Night 91 - McDonald vs. Lineker","Sam Alvey"
"UFC Fight Night 91 - McDonald vs. Lineker","Cortney Casey"
"UFC Fight Night 91 - McDonald vs. Lineker","Scott Holtzman"
"UFC Fight Night 91 - McDonald vs. Lineker","Rani Yahya"
"UFC on Fox 20 - Holm vs. Shevchenko","Betting Tools"
"UFC on Fox 20 - Holm vs. Shevchenko","Holly Holm"
"UFC on Fox 20 - Holm vs. Shevchenko","Edson Barboza"
"UFC on Fox 20 - Holm vs. Shevchenko","Francis Ngannou"
"UFC on Fox 20 - Holm vs. Shevchenko","Felice Herrig"
"UFC on Fox 20 - Holm vs. Shevchenko","Eddie Wineland"
"UFC on Fox 20 - Holm vs. Shevchenko","Darren Elkins"
"UFC on Fox 20 - Holm vs. Shevchenko","Alexander Yakovlev"
"UFC on Fox 20 - Holm vs. Shevchenko","Michel Prazeres"
"UFC on Fox 20 - Holm vs. Shevchenko","Alex Oliveira"
"UFC on Fox 20 - Holm vs. Shevchenko","Jim Alers"
"UFC 201 - Lawler vs. Woodley","Betting Tools"
"UFC 201 - Lawler vs. Woodley","Robbie Lawler"
"UFC 201 - Lawler vs. Woodley","Rose Namajunas"
"UFC 201 - Lawler vs. Woodley","Matt Brown"
"UFC 201 - Lawler vs. Woodley","Erik Perez"
"UFC 201 - Lawler vs. Woodley","Ryan Benoit"
"UFC 201 - Lawler vs. Woodley","Nikita Krylov"
"UFC 201 - Lawler vs. Woodley","Ross Pearson"
"UFC 201 - Lawler vs. Woodley","Damian Grabowski"
"UFC 201 - Lawler vs. Woodley","Michael Graves"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Betting Tools"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Yair Rodriguez"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Dennis Bermudez"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Thales Leites"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Zak Cummings"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Trevor Smith"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Maryna Moroz"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Court McGee"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Marcin Tybura"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Teruto Ishihara"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Cub Swanson"
"UFC 202 - Diaz vs. McGregor 2 ","Betting Tools"
"UFC 202 - Diaz vs. McGregor 2 ","Conor McGregor"
"UFC 202 - Diaz vs. McGregor 2 ","Anthony Johnson"
"UFC 202 - Diaz vs. McGregor 2 ","Donald Cerrone"
"UFC 202 - Diaz vs. McGregor 2 ","Tim Means"
"UFC 202 - Diaz vs. McGregor 2 ","Cody Garbrandt"
"UFC 202 - Diaz vs. McGregor 2 ","Raquel Pennington"
"UFC 202 - Diaz vs. McGregor 2 ","Artem Lobov"
"UFC 202 - Diaz vs. McGregor 2 ","Randa Markos"
"UFC 202 - Diaz vs. McGregor 2 ","Neil Magny"
"UFC 202 - Diaz vs. McGregor 2 ","Colby Covington"
"UFC 202 - Diaz vs. McGregor 2 ","Marvin Vettori"
"UFC on Fox 21 - Condit vs. Maia","Betting Tools"
"UFC on Fox 21 - Condit vs. Maia","Carlos Condit"
"UFC on Fox 21 - Condit vs. Maia","Anthony Pettis"
"UFC on Fox 21 - Condit vs. Maia","Paige VanZant"
"UFC on Fox 21 - Condit vs. Maia","Joe Lauzon"
"UFC on Fox 21 - Condit vs. Maia","Sam Alvey"
"UFC on Fox 21 - Condit vs. Maia","Enrique Barzola"
"UFC on Fox 21 - Condit vs. Maia","Garreth McLellan"
"UFC on Fox 21 - Condit vs. Maia","Shane Campbell"
"UFC on Fox 21 - Condit vs. Maia","Chad Laprise"
"UFC Fight Night - Arlovski vs. Barnett","Betting Tools"
"UFC Fight Night - Arlovski vs. Barnett","Andrei Arlovski"
"UFC Fight Night - Arlovski vs. Barnett","Alexander Gustafsson"
"UFC Fight Night - Arlovski vs. Barnett","Ryan Bader"
"UFC Fight Night - Arlovski vs. Barnett","Nick Hein"
"UFC Fight Night - Arlovski vs. Barnett","Nicolas Dalby"
"UFC Fight Night - Arlovski vs. Barnett","Leandro Issa"
"UFC Fight Night - Arlovski vs. Barnett","Jarjis Danho"
"UFC Fight Night - Arlovski vs. Barnett","Scott Askham"
"UFC Fight Night - Arlovski vs. Barnett","Rustam Khabilov"
"UFC 203 - Miocic vs. Overeem","Betting Tools"
"UFC 203 - Miocic vs. Overeem","Stipe Miocic"
"UFC 203 - Miocic vs. Overeem","Fabricio Werdum"
"UFC 203 - Miocic vs. Overeem","Mickey Gall"
"UFC 203 - Miocic vs. Overeem","Urijah Faber"
"UFC 203 - Miocic vs. Overeem","Joanne Calderwood"
"UFC 203 - Miocic vs. Overeem","Jessica Eye"
"UFC 203 - Miocic vs. Overeem","Brad Tavares"
"UFC 203 - Miocic vs. Overeem","Yancy Medeiros"
"UFC Fight Night 94 - Poirier vs. Johnson","Betting Tools"
"UFC Fight Night 94 - Poirier vs. Johnson","Dustin Poirier"
"UFC Fight Night 94 - Poirier vs. Johnson","Urijah Hall"
"UFC Fight Night 94 - Poirier vs. Johnson","Evan Dunham"
"UFC Fight Night 94 - Poirier vs. Johnson","Roan Carneiro"
"UFC Fight Night 94 - Poirier vs. Johnson","Chris Wade"
"UFC Fight Night 94 - Poirier vs. Johnson","Chas Skelly"
"UFC Fight Night 94 - Poirier vs. Johnson","Sam Sicilia"
"UFC Fight Night 94 - Poirier vs. Johnson","Augusto Montano"
"UFC Fight Night 94 - Poirier vs. Johnson","Antonio Carlos Junior"
"UFC Fight Night 95 - Brasilia","Betting Tools"
"UFC Fight Night 95 - Brasilia","Cristiane Justino"
"UFC Fight Night 95 - Brasilia","Renan Barao"
"UFC Fight Night 95 - Brasilia","Antonio Silva"
"UFC Fight Night 95 - Brasilia","Francisco Trinaldo"
"UFC Fight Night 95 - Brasilia","Thiago Santos"
"UFC Fight Night 95 - Brasilia","Godofredo Pepey"
"UFC Fight Night 95 - Brasilia","Gilbert Burns"
"UFC Fight Night 95 - Brasilia","Michinori Tanaka"
"UFC Fight Night 95 - Brasilia","Jussier Formiga"
"UFC Fight Night 95 - Brasilia","Erick Silva"
"UFC Fight Night 95 - Brasilia","Alan Patrick"
"UFC Fight Night 95 - Brasilia","Vicente Luque"
"UFC Fight Night 95 - Brasilia","Glaico Franca"
"UFC Fight Night 96 - Lineker vs. Dodson","Betting Tools"
"UFC Fight Night 96 - Lineker vs. Dodson","John Lineker"
"UFC Fight Night 96 - Lineker vs. Dodson","Will Brooks"
"UFC Fight Night 96 - Lineker vs. Dodson","Josh Burkman"
"UFC Fight Night 96 - Lineker vs. Dodson","Luis Henrique da Silva"
"UFC Fight Night 96 - Lineker vs. Dodson","Andre Fili"
"UFC Fight Night 96 - Lineker vs. Dodson","Nate Marquardt"
"UFC Fight Night 96 - Lineker vs. Dodson","Walt Harris"
"UFC Fight Night 96 - Lineker vs. Dodson","Keita Nakamura"
"UFC 204 - Bisping vs. Henderson 2","Betting Tools"
"UFC 204 - Bisping vs. Henderson 2","Michael Bisping"
"UFC 204 - Bisping vs. Henderson 2","Gegard Mousasi"
"UFC 204 - Bisping vs. Henderson 2","Ovince St Preux"
"UFC 204 - Bisping vs. Henderson 2","Stefan Struve"
"UFC 204 - Bisping vs. Henderson 2","Russell Doane"
"UFC 204 - Bisping vs. Henderson 2","Brad Pickett"
"UFC 204 - Bisping vs. Henderson 2","Albert Tumenov"
"UFC 204 - Bisping vs. Henderson 2","Marc Diakiese"
"UFC 204 - Bisping vs. Henderson 2","Danny Roberts"
"UFC 204 - Bisping vs. Henderson 2","Leonardo Santos"
"UFC Mexico City","Betting Tools"
